Item,Data Element,Type,Max Length,Format,Description,File,Min_Date,Max_Date,pandas_dtype,polars_dtype
P17,Pool UPB,Numeric,14,11.2,Pool UPB: The sum of the loan UPB balances for the loans in this pool.,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P18,Number of loans in pool,Numeric,6,,Number of loans in pool: The number of loans in the pool.,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P19,Number of Loans 30 days delinquent,Numeric,6,,"Number of Loans 30 days delinquent: The number of loans that are
30 days delinquent.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P20,UPB of Loans 30 days delinquent,Numeric,14,11.2,"UPB of Loans 30 days delinquent: The UPB of loans that are 30
days delinquent.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P21,Percentage of UPB of Loans 30 days delinquent,Numeric,6,3.2,"Percentage of UPB of Loans 30 days delinquent: The percentage of
UPB of loans that are 30 days delinquent.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P22,Number of Loans 60 days delinquent,Numeric,6,,"Number of Loans 60 days delinquent: The number of loans that are
60 days delinquent.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P23,UPB of Loans 60 days delinquent,Numeric,14,11.2,"UPB of Loans 60 days delinquent: The UPB of loans that are 60
days delinquent.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P24,Percentage of UPB of Loans 60 days delinquent,Numeric,6,3.2,"Percentage of UPB of Loans 60 days delinquent: The percentage of
UPB of loans that are 60 days delinquent.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P25,Number of Loans 90+ days delinquent,Numeric,6,,"Number of Loans 90+ days delinquent: The number of loans that
are 90 days delinquent.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P26,UPB of Loans 90+ days delinquent,Numeric,14,11.2,"UPB of Loans 90+ days delinquent: The UPB of loans that are 90
days delinquent.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P27,Percentage of UPB of Loans 90+ days delinquent,Numeric,6,3.2,"Percentage of UPB of Loans 90+ days delinquent: The percentage
of UPB of loans that are 90 days delinquent.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P28,Security RPB,Numeric,14,11.2,"Security RPB: The Security remaining unpaid principal dollar
amount of this pool as of the end of this reporting period.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P29,RPB Factor,Numeric,10,1.8,"RPB Factor: Outstanding principal balance / original principal
balance.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
P30,Project Loan Security Interest Rate,Numeric,6,2.3,"Project Loan Security Interest Rate: The interest rate associated
with the Permanent Project Loan Security, from the Prospectus.
Will only be populated for CS Pool Types.",mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,
