Item,Data Element,Type,Max Length,Format,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
LP-53,Liquidation Balance (principal pass through),Numeric,16,,"The unscheduled remaining principal of the loan that
is being passed through, after taking into account
scheduled principal remitted. This field will be blank if
the loan is removed within 6 months of pool issuance.","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP,,
LP-54,Number of Months Forbearance (Term),Character,2,,"The number of months forbearance (the forbearance
term) based on scheduled installments, as reported by
the issuer. This field will be blank if not available.","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP,,
LP-55,COVID Flag,Character,1,Col4,Values are: Y = COVID related N = Other type of forbearance not COVID related U = Unknown. Ginnie Mae issuers report all active forbearances and to the extent available a flag indicating that the forbearance is specific to COVID circumstances or not. Will be “U” if not available.,"LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP,,
LP-56,Begin Date,Numeric,8,CCYYMMDD,"The scheduled installment (per the loan’s amortization
schedule), that the forbearance begins. Will be blank if
not available.","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP,,
LP-57,End Date,Numeric,8,CCYYMMDD,"The scheduled installment (per the loan’s amortization
schedule), that the forbearance ends. Will be blank if
not available.","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP,,
LP-58,Forbearance “Exit” Code,Character,1,,"Values are:
1 = Lump Sum Repayment Plan
2 = Installment Repayment Plan
3 = Partial Claim or Deferral
4 = Loan Mod/Loss Mitigation/Combo
5 = Loan Paid Off
6 = No Workout/No Loss Mitigation
7 = Other Type of Workout Plan
8 = Unavailable: This is used where there is a
Forbearance Exit, but no code was available
9 = Cancelled; Loan Remained Current
U = Status Unknown for the Period. There is nothing to
disclose.
N = The loan is not exiting forbearance this reporting
period.","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP,,
LP-59,Months Delinquent (up to previous 24 months),Character,48,,"This is a single field with up to 24 occurrences of
Payment History (a maximum of 48: 2 characters of 24","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP,,
TT-01,Record Type = TT,Character,2,,File Trailer Record,"LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,TT,,
TT-02,Report Period,Numeric,6,YYYYMM,Reporting Period of the data in the file,"LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,TT,,
TT-03,Loan Count,Numeric,9,,"The number of loans/LP Records contained in the
file. This count does not include the “HH” or “TT”
records.","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,TT,,
