Field #,Field Width,Header Name,Field Name,Values,Description / Comments
11,9,income_annual,Borrower’s (or Borrowers’) Annual Income,999999999 = Not available,"For mortgages originated prior to the year of acquisition by an Enterprise, the borrower’s (or borrowers’) annual income, which is reported to FHFA by the Enterprises as an origination year value, was inflated by FHFA to an acquisition year value using the ratio of the area median family income estimates (see field #12) for the acquisition year and origination year for the MSA or county. Values are rounded to the nearest $1,000. The missing indicator has been expanded to 9 digits beginning with the 2018 PUDB."
12,6,ami_hud,Area Median Family Income (2024),999999 = Not available,"For properties in MSAs, the MSA median family income, and for properties outside MSAs, the county median family income or the State non-metropolitan median income, whichever is greater, for the reporting year (i.e., the year of mortgage acquisition by the Enterprise). It is based on HUD’s median family income estimates as established annually for use in determining eligibility for various assisted housing programs. The values for this field are supplied by FHFA."
13,8,income_ratio,Borrower Income Ratio,9999.000 = Not Applicable or Not Available Example of data format: 0.5811 = The borrower(s) annual income is 58.11 percent of the area median family income.,The ratio of the borrower’s (or borrowers’) annual income to the area median family income for the reporting year. This is the ratio used to determine whether borrower’s (or borrowers’) income qualifies for an income-based housing goal. This is the ratio defined at 12 CFR 1282.15(b)(1) for owner-occupied units.
14,9,upb_acq,Acquisition Unpaid Principal Balance (UPB),999999999 = Not available,"The UPB when the Enterprise acquired the mortgage. The UPB is reported as the midpoint for the $10,000 interval into which the reported value falls to conform with CFPB Privacy Guidance."
15,1,purpose_ctf,Purpose of Loan,1 = Purchase* 2 = Refinancing (not cash-out or unknown type of refi) 4 = Home Improvement/Rehabilitation 7 = Refinancing (cash-out) 9 = Not applicable/not available,Purpose of loan reported by the Enterprise. * Purchases include subordinate liens and home improvement/rehabilitation loans that are associated with a home purchase.
16,1,fed_guarantee_ctf,Federal Guarantee,1 = Conventional/Other 2 = FHA-insured* 3 = VA-guaranteed 4 = FSA/RHS-guaranteed,*Includes FHA HECM and Title 1 loans.
17,2,borr_num,Number of Borrowers,99 = Missing,
18,1,fthb,First-Time Home Buyer,1 = Yes 2 = No 9 = Not available,
19,1,"race1_borr, race2_borr, race3_borr, race4_borr, race5_borr",Borrower Race 1,"1 = American Indian or Alaska Native 2 = Asian 3 = Black or African American 4 = Native Hawaiian or Other Pacific Islander 5 = White 6 = Information not provided by borrower in a mail, internet, or telephone application 7 = Not applicable 9 = Not available",
20,1,"race1_borr, race2_borr, race3_borr, race4_borr, race5_borr",Borrower Race 2,"1 = American Indian or Alaska Native 2 = Asian 3 = Black or African American 4 = Native Hawaiian or Other Pacific Islander 5 = White 6 = Information not provided by borrower in a mail, internet, or telephone application 7 = Not applicable 9 = Not available",
21,1,"race1_borr, race2_borr, race3_borr, race4_borr, race5_borr",Borrower Race 3,"1 = American Indian or Alaska Native 2 = Asian 3 = Black or African American 4 = Native Hawaiian or Other Pacific Islander 5 = White 6 = Information not provided by borrower in a mail, internet, or telephone application 7 = Not applicable 9 = Not available",
22,1,"race1_borr, race2_borr, race3_borr, race4_borr, race5_borr",Borrower Race 4,"1 = American Indian or Alaska Native 2 = Asian 3 = Black or African American 4 = Native Hawaiian or Other Pacific Islander 5 = White 6 = Information not provided by borrower in a mail, internet, or telephone application 7 = Not applicable 9 = Not available",
23,1,"race1_borr, race2_borr, race3_borr, race4_borr, race5_borr",Borrower Race 5,"1 = American Indian or Alaska Native 2 = Asian 3 = Black or African American 4 = Native Hawaiian or Other Pacific Islander 5 = White 6 = Information not provided by borrower in a mail, internet, or telephone application 7 = Not applicable 9 = Not available",
24,1,ethnicity_borr,Borrower Ethnicity,"1 = Hispanic or Latino 2 = Not Hispanic or Latino 3 = Information not provided by borrower in a mail, internet, or telephone application 4 = Not applicable 9 = Not available",
25,1,"race1_coborr, race2_coborr, race3_coborr, race4_coborr, race5_coborr",Co-Borrower Race or National Origin 1,"1 = American Indian or Alaska Native 2 = Asian 3 = Black or African American 4 = Native Hawaiian or Other Pacific Islander 5 = White 6 = Information not provided by co-borrower in a mail, internet, or telephone application 7 = Not applicable 8 = No co-borrower 9 = Not available",
26,1,"race1_coborr, race2_coborr, race3_coborr, race4_coborr, race5_coborr",Co-Borrower Race or National Origin 2,"1 = American Indian or Alaska Native 2 = Asian 3 = Black or African American 4 = Native Hawaiian or Other Pacific Islander 5 = White 6 = Information not provided by co-borrower in a mail, internet, or telephone application 7 = Not applicable 8 = No co-borrower 9 = Not available",
27,1,"race1_coborr, race2_coborr, race3_coborr, race4_coborr, race5_coborr",Co-Borrower Race or National Origin 3,"1 = American Indian or Alaska Native 2 = Asian 3 = Black or African American 4 = Native Hawaiian or Other Pacific Islander 5 = White 6 = Information not provided by co-borrower in a mail, internet, or telephone application 7 = Not applicable 8 = No co-borrower 9 = Not available",
28,1,"race1_coborr, race2_coborr, race3_coborr, race4_coborr, race5_coborr",Co-Borrower Race or National Origin 4,"1 = American Indian or Alaska Native 2 = Asian 3 = Black or African American 4 = Native Hawaiian or Other Pacific Islander 5 = White 6 = Information not provided by co-borrower in a mail, internet, or telephone application 7 = Not applicable 8 = No co-borrower 9 = Not available",
29,1,"race1_coborr, race2_coborr, race3_coborr, race4_coborr, race5_coborr",Co-Borrower Race or National Origin 5,"1 = American Indian or Alaska Native 2 = Asian 3 = Black or African American 4 = Native Hawaiian or Other Pacific Islander 5 = White 6 = Information not provided by co-borrower in a mail, internet, or telephone application 7 = Not applicable 8 = No co-borrower 9 = Not available",
30,1,ethnicity_coborr,Co-Borrower Ethnicity,"1 = Hispanic or Latino 2 = Not Hispanic or Latino 3 = Information not provided by co-borrower in a mail, internet, or telephone application 4 = Not applicable 5 = No co-borrower 9 = Not available",
31,1,sex_borr,Borrower Sex,1 = Male 2 = Female 3 = Information is not provided by the borrower in a mail or telephone application 4 = Not applicable 9 = Not available,
32,1,sex_coborr,Co-Borrower Sex,1 = Male 2 = Female 3 = Information is not provided by the co-borrower in a mail or telephone application 4 = Not applicable 5 = No co-borrower 9 = Not available,
33,1,age_borr_cat,Age of Borrower,1 = Under 25 years old 2 = 25 to 34 years old 3 = 35 to 44 years old 4 = 45 to 54 years old 5 = 55 to 64 years old 6 = 65 to 74 years old 7 = Over 74 years old 9 = Data not provided,Bucketing aligns with the disclosure of Borrower Age in the public HMDA dataset to conform with CFPB Privacy Guidance.
34,1,age_coborr_cat,Age of Co-Borrower,1 = Under 25 years old 2 = 25 to 34 years old 3 = 35 to 44 years old 4 = 45 to 54 years old 5 = 55 to 64 years old 6 = 65 to 74 years old 7 = Over 74 years old 9 = Data not provided/no co-borrower,Bucketing aligns with the disclosure of Co-Borrower Age in the public HMDA dataset to conform with CFPB Privacy Guidance.
35,1,occupancy_sf_ctf,Occupancy Code,1 = Principal Residence/Owner-Occupied property 2 = Second Home 3 = Investment property 9 = Not Available,
36,5,rate_spread,Rate Spread,"0 = Not applicable, not reported, or < 1.50 if a first lien (or < 3.50 if a subordinate lien) Actual values >= 1.50 (or >= 3.50 respectively) Example of data format: 3.10 = APR is 3.10 percent above the applicable Average Prime Offer Rate (APOR).","The spread (difference) between the annual percentage rate (APR) and a survey-based estimate of APRs currently offered on prime mortgage loans, i.e., the APOR, of a comparable type. See http://www.ffiec.gov/ratespread/newcalc.aspx for details."
37,1,hoepa,HOEPA Status,1 = Yes 2 = No 9 = Not available or not applicable,"Whether the loan is covered by section 103(bb) of the Home Ownership and Equity Protection Act (HOEPA) (15 U.S.C. 1602(bb)), as implemented by the Bureau of Consumer Financial Protection."
38,1,property_type,Property Type,1 = One to four-family (other than manufactured housing) 2 = Manufactured housing 9 = Unknown,HMDA “Construction Method”
39,1,lien_status,Lien Status,1 = Secured by a first lien 2 = Secured by a subordinate lien 3 = Not secured by a lien 4 = Not applicable,
40,1,age_borr_62_cat,Borrower Age 62 or older,1 = Yes (62 or older) 0 = No 9 = Missing,
41,1,age_coborr_62_cat,Co-Borrower Age 62 or older,1 = Yes (62 or older) 0 = No 9 = Missing,
42,6,ltv,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",999.00 = Not applicable,
43,1,same_year_acq,Date of Mortgage Note,1 = Originated in same calendar year as acquired 2 = Originated prior to calendar year of acquisition 9 = Missing,
44,3,term_orig,Term of Mortgage at Origination,999 = Not available,Months
45,1,units_num,Number of Units,"1, 2, 3, or 4",
46,6,rate_orig,Interest Rate at Origination,99.000 = Missing/Not available,
47,9,upb_orig,Note Amount,999999999 = Not available,"Note amount is reported as the midpoint for the $10,000 interval into which the reported value falls to conform with CFPB Privacy Guidance."
48,1,preapproval,Preapproval,1 = Preapproval requested 2 = Preapproval not requested 9 = Preapproval request unknown or missing,
49,1,channel_apply,Application Channel,1 = ULDD Retail Origination 2 = ULDD Broker Origination 3 = Other 9 = Application channel unknown or missing,
50,1,aus,Automated Underwriting System (AUS) Name,1 = Desktop Underwriter (DU) 2 = Loan Prospector (LP) or Loan Product Advisor (LPA) 3 = Technology Open to Approved Lenders (TOTAL) Scorecard 4 = Guaranteed Underwriting System (GUS) 5 = Other 6 = Not applicable or AUS not used 9 = AUS unknown or missing,
51,2,score_borr_model,Credit Score Model - Borrower,1 = Equifax Beacon 5.0 2 = Experian Fair Isaac 3 = FICO Risk Score Classic 04 4 = FICO Risk Score Classic 98 5 = VantageScore 2.0 6 = VantageScore 3.0 7 = More than one credit scoring model 8 = Other credit scoring model 9 = Not applicable 11 = FICO Score 9 12 = FICO Score 8 13 = FICO Score 10 14 = FICO Score 10T 15 = VantageScore 4.0 99 = Unknown,
52,2,score_coborr_model,Credit Score Model - Co-Borrower,1 = Equifax Beacon 5.0 2 = Experian Fair Isaac 3 = FICO Risk Score Classic 04 4 = FICO Risk Score Classic 98 5 = VantageScore 2.0 6 = VantageScore 3.0 7 = More than one credit scoring model 8 = Other credit scoring model 9 = Not applicable 10 = No co-applicant 11 = FICO Score 9 12 = FICO Score 8 13 = FICO Score 10 14 = FICO Score 10T 15 = VantageScore 4.0 99 = Unknown,
53,2,dti_cat,Debt-to-Income (DTI) Ratio,10 = Less than 20 percent 20 = 20 to less than 30 percent 30 = 30 to less than 36 percent Actual value = 36 to 49 percent 50 = 50 to 60 percent 60 = Greater than 60 percent 99 = Not available,
54,6,points,Discount Points,999999 = Not available/Not applicable,Discount points is reported as dollars.
55,3,period_intro_rate,Introductory Rate Period,999 = Not available/Not applicable,Months
56,1,mh_land_interest,Manufactured Home - Land Property Interest,1 = Direct ownership 2 = Indirect ownership 3 = Leasehold or ground rent 5 = Not applicable 9 = Unknown,
57,9,property_value,Property Value,999999999 = Not available,"Property value is reported as the midpoint for the $10,000 interval into which the reported value falls."
58,1,tract_rural,Rural Census Tract,1 = Yes 0 = No,Property is located in this geographical area that the Duty to Serve regulation (12 CFR 1282.31-1282.41) identifies for Enterprise efforts. The values for this field are supplied by FHFA.
59,1,county_lower_ ms_delta,Lower Mississippi Delta County,1 = Yes 0 = No,Property is located in this geographical area that the Duty to Serve regulation (12 CFR 1282.31-1282.41) identifies for Enterprise efforts. The values for this field are supplied by FHFA.
60,1,county_mid_ appalachia,Middle Appalachia County,1 = Yes 0 = No,Property is located in this geographical area that the Duty to Serve regulation (12 CFR 1282.31-1282.41) identifies for Enterprise efforts. The values for this field are supplied by FHFA.
61,1,county_persistent_ poverty,Persistent Poverty County,1 = Yes 0 = No,Property is located in this geographical area that the Duty to Serve regulation (12 CFR 1282.31-1282.41) identifies for Enterprise efforts. The values for this field are supplied by FHFA.
62,1,area_concentrated_ poverty,Area of Concentrated Poverty,1 = Yes 0 = No,Property is located in this geographical area that the Duty to Serve regulation (12 CFR 1282.31-1282.41) identifies for Enterprise efforts. The values for this field are supplied by FHFA.
63,1,area_high_opp,High Opportunity Area,1 = Yes 0 = No,Property is located in this geographical area that the Duty to Serve regulation (12 CFR 1282.31-1282.41) identifies for Enterprise efforts. The values for this field are supplied by FHFA.
64,1,tract_colonias,Colonias Tract,1 = Yes 0 = No,Property is located in this geographical area that the Duty to Serve regulation (12 CFR 1282.31-1282.41) identifies for Enterprise efforts. The values for this field are supplied by FHFA.
